tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,root
1905,116139,True,2017-10-31 22:06:26+00:00,"@ComcastCares
 I just opened an account with xfinity and needed the modem. Will it be shipped to my house or do I have to pick it up?",1904,,1905
1904,comcastcares,False,2017-10-31 22:41:46+00:00,"@116139 Hello, thanks for reaching out about your new service concerns and I'm happy to help. Can you please DM the full address? ~AT",,1905.0,1905
3692,116599,True,2017-11-25 23:28:48+00:00,"Insisted on going to the @116136 center and taking in the show with audio description for a second time. It was as  much fun today as it was yesterday, and I still got teary-eyed, even knowing what was coming",3691,,3692
3691,comcastcares,False,2017-11-25 23:46:27+00:00,@116599 Please let us know if you need any help or have any questions. -GR,3689,3692.0,3692
3689,116599,True,2017-11-25 23:55:54+00:00,"@comcastcares Oh, it's OK. No problems. I just had a fun time at that holiday spectacular y'all do here in Philly. :)",3687,3691.0,3692
3687,comcastcares,False,2017-11-26 00:22:31+00:00,"@116599 I just wanted to be sure you didn't need any help. But I am very happy to hear you enjoyed yourself at our event, please do not hesitate to reach out if you need any help. -GR",3688,3689.0,3692
3688,116599,True,2017-11-26 00:30:34+00:00,@comcastcares I appreciate it. :),3690,3687.0,3692
3690,comcastcares,False,2017-11-26 00:35:18+00:00,@116599 Anytime. -GR,,3688.0,3692
7060,117226,True,2017-10-31 23:25:45+00:00,Getting really frustrated with @115900  lately . Starting to look around for new cable and internet provider,7059,,7060
7059,comcastcares,False,2017-10-31 23:33:37+00:00,"@117226 Hello Valentina, I am not happy to hear this. How can I help you? -YE",7058,7060.0,7060
7058,117226,True,2017-10-31 23:36:37+00:00,@comcastcares My service is always on and off . Ironically when I need it most I'm having to reboot and reset my internet and it's very inconvenient,7057,7059.0,7060
7057,comcastcares,False,2017-10-31 23:39:15+00:00,@117226 I am glad you have reached out. We will work on fixing this. Please send us a DM with your account number. -YE,,7058.0,7060
8009,117386,True,2017-11-02 09:05:45+00:00,"@ComcastCares
#mobile_CareXI no signal on my modem, please fix.","8008,8010",,8009
8008,comcastcares,False,2017-11-02 16:44:38+00:00,"@117386 Hello, I apologize for the delayed reply. Are you still having issues with your internet at this time? -JW",,8009.0,8009
8010,comcastcares,False,2017-11-03 15:03:18+00:00,@117386 I just wanted to follow up with you and see if you were still having issues with your internet. -JW,,8009.0,8009
